Month,Year,Volume_Billion,Value_Lakh_Crore,Active_Users_Million,Avg_Transaction_Value
Jan,2022,4.62,8.32,165,1800
Feb,2022,4.53,8.27,168,1825
Mar,2022,5.04,9.60,172,1905
Apr,2022,5.58,9.83,178,1762
May,2022,5.95,10.40,185,1748
Jun,2022,5.86,10.14,190,1731
Jul,2022,6.28,10.63,196,1692
Aug,2022,6.58,10.73,202,1631
Sep,2022,6.78,11.16,208,1646
Oct,2022,7.30,12.11,215,1659
Nov,2022,7.34,11.90,222,1621
Dec,2022,7.82,12.82,228,1639
Jan,2023,8.03,12.98,235,1617
Feb,2023,7.54,12.36,238,1640
Mar,2023,8.65,14.05,245,1624
Apr,2023,8.89,14.07,252,1583
May,2023,9.41,14.89,258,1582
Jun,2023,9.33,14.75,264,1581
Jul,2023,9.96,15.34,270,1540
Aug,2023,10.59,15.76,278,1488
Sep,2023,10.56,15.81,285,1497
Oct,2023,11.41,17.16,292,1504
Nov,2023,11.22,17.40,298,1550
Dec,2023,11.78,18.23,305,1547
Jan,2024,12.20,18.41,312,1509
Feb,2024,11.63,17.86,318,1536
Mar,2024,13.44,19.78,325,1472
Apr,2024,13.30,20.07,332,1509
May,2024,14.04,20.45,340,1457
Jun,2024,13.89,20.27,346,1459
Jul,2024,14.44,20.64,352,1429
Aug,2024,14.96,21.56,358,1441
Sep,2024,15.04,22.19,365,1475
Oct,2024,16.58,23.49,372,1417
Nov,2024,15.48,21.55,378,1392
Dec,2024,16.73,23.25,385,1390
