User_ID,Age,City_Tier,Monthly_Income,Monthly_Spend,Food_Pct,Shopping_Pct,Transport_Pct,Entertainment_Pct,Bills_Pct,Others_Pct,Num_Transactions,Has_Credit_Card,Uses_Budget_App,Financial_Anxiety_Score,Savings_Rate
U001,19,1,8000,7200,35,22,8,18,10,7,42,0,0,8,10
U002,20,1,10000,9500,30,28,10,15,12,5,55,0,0,9,5
U003,21,1,12000,10200,28,25,12,14,15,6,48,1,0,7,15
U004,22,2,15000,12750,32,20,10,16,14,8,38,0,0,8,15
U005,23,1,35000,28000,25,22,12,10,20,11,65,1,0,6,20
U006,24,1,40000,32000,22,20,15,8,22,13,72,1,1,5,20
U007,25,1,45000,33750,20,18,15,10,25,12,80,1,0,6,25
U008,26,1,55000,41250,18,22,12,8,28,12,88,1,0,5,25
U009,27,1,65000,45500,15,20,10,8,30,17,95,1,1,4,30
U010,28,1,70000,49000,18,15,12,10,32,13,92,1,1,3,30
U011,19,2,6000,5700,38,18,10,20,8,6,35,0,0,9,5
U012,20,2,8000,7600,36,20,8,18,12,6,40,0,0,9,5
U013,21,2,10000,8500,33,22,10,15,14,6,45,0,0,8,15
U014,22,1,18000,15300,28,25,12,12,16,7,52,1,0,7,15
U015,23,1,30000,25500,26,20,14,10,18,12,60,1,0,7,15
U016,24,1,38000,30400,24,18,15,8,22,13,68,1,0,6,20
U017,25,2,35000,28000,22,20,12,10,24,12,58,1,0,6,20
U018,26,1,50000,37500,20,18,14,8,26,14,78,1,1,5,25
U019,27,1,60000,42000,18,16,12,8,30,16,85,1,1,4,30
U020,28,1,75000,52500,16,14,10,8,35,17,90,1,1,3,30
U021,19,1,9000,8550,40,20,8,16,10,6,48,0,0,9,5
U022,20,1,11000,10450,34,24,10,14,12,6,52,0,0,8,5
U023,21,2,8000,7200,36,18,10,18,12,6,38,0,0,8,10
U024,22,1,20000,17000,30,22,12,14,15,7,55,1,0,7,15
U025,23,1,32000,25600,26,22,14,10,18,10,62,1,0,6,20
U026,24,2,28000,23800,28,18,12,10,20,12,50,1,0,7,15
U027,25,1,48000,36000,20,18,15,8,24,15,75,1,0,5,25
U028,26,1,52000,39000,18,20,14,8,26,14,82,1,1,5,25
U029,27,2,45000,33750,22,16,12,8,28,14,65,1,0,5,25
U030,28,1,80000,56000,15,18,10,8,32,17,98,1,1,3,30
U031,19,3,5000,4750,42,15,8,20,8,7,30,0,0,9,5
U032,20,3,7000,6650,38,18,10,18,10,6,32,0,0,9,5
U033,21,3,9000,7650,35,20,10,16,12,7,36,0,0,8,15
U034,22,2,12000,10800,32,20,10,14,16,8,42,0,0,8,10
U035,23,2,22000,18700,28,22,12,12,18,8,48,1,0,7,15
U036,24,1,42000,33600,22,20,14,8,22,14,70,1,0,5,20
U037,25,1,50000,37500,20,18,14,8,25,15,82,1,0,5,25
U038,26,2,40000,32000,24,18,12,8,24,14,60,1,0,6,20
U039,27,1,58000,40600,18,16,12,8,30,16,88,1,1,4,30
U040,28,1,72000,50400,16,16,10,8,34,16,92,1,1,3,30
U041,19,1,10000,9000,34,24,8,18,10,6,50,0,0,8,10
U042,20,2,7500,7125,36,20,10,16,12,6,36,0,0,9,5
U043,21,1,14000,11900,30,24,12,14,14,6,52,1,0,7,15
U044,22,1,22000,18700,28,22,12,14,16,8,58,1,0,7,15
U045,23,2,25000,21250,26,20,14,10,20,10,52,1,0,7,15
U046,24,1,45000,36000,22,20,14,8,22,14,74,1,0,5,20
U047,25,1,55000,41250,18,18,14,10,26,14,85,1,1,5,25
U048,26,2,42000,33600,24,18,12,8,24,14,62,1,0,6,20
